id	descriptive_name	neighbourhood	price	days	total_price
1476692933815988813	Minimalistic Apartment in Mitte	Alexanderplatz	110	3	330
52553127	Central and calm and absolutely private	Moabit West	109	3	327
1399186831579460321	Paradiesische Oase in bester Lage Berlins	Brunnenstr. Süd	106	3	318
50686128	Berlin Mitte Studio	Alexanderplatz	105	3	315
896912900582308071	Schönes ruhiges Zimmer	Brunnenstr. Süd	105	3	315
45246686	Doppelzimmer, Apple City Hotel	Moabit West	105	3	315
18863113	primeflats - Apartment Togo Berlin-Wedding	Parkviertel	105	3	315
45374751	Doppelzimmer 2, Apple City Hotel	Moabit West	103	3	309
45681016	Zweibettzimmer, Apple City Hotel	Moabit West	103	3	309
50927054	Zweibettzimmer, Apple City Hotel	Moabit West	103	3	309
1359930462749723599	Amazing Apartment Berlin Mitte	Moabit West	102	3	306
1437554313983911035	Ruhige Wohnung in Berlin Mitte	Brunnenstr. Süd	100	3	300
610165981448452535	Une jolie chambre et complete dans un Appartement	Osloer Straße	100	3	300
8094511	bed in a 5-bed mixed dorm , Shared bathroom	Alexanderplatz	99	3	297
1466764994420380871	Heavenly apartment in Berlin	Osloer Straße	99	3	297
1500817310329779290	Gemütliches Apartment + Netflix + Balkon	Osloer Straße	99	3	297
1374803290397255608	Flattering Suites 32	Wedding Zentrum	99	3	297
20965750	Studio 4 *** max. 2 Gäste	Moabit Ost	95	3	285
691906951861326432	Wunderschönes Zimmer in großer Neubauwohnung	Osloer Straße	95	3	285
26594082	750 SFT Lovely Apartment in Central Berlin Mitte	Wedding Zentrum	95	3	285
44272628	Zweibettzimmer, Apple City Hotel in Berlin	Moabit West	93	3	279
45375004	Einzelzimmer, Apple City Hotel	Moabit West	92	3	276
50713075	Einzelzimmer 2, Apple City Hotel	Moabit West	92	3	276
1429820885752412981	Modern & Bright Flat in Mitte	Brunnenstr. Süd	91	3	273
989920664737468976	Bello y cómodo cuarto en Berlín	Osloer Straße	91	3	273
878927610471054839	Flattering Berlin 5-14	Wedding Zentrum	90	3	270
1314330585001384931	Berliner City Wohnung in Mitte	Wedding Zentrum	90	3	270
23674729	One room apartment in Mitte	Brunnenstr. Süd	89	3	267
1199707505762903993	Zimmer mit Privatbad	Wedding Zentrum	87	3	261
1169215850289461732	Jewel in urban garden;  shepherdess hut+shower hut	Brunnenstr. Nord	85	3	255
643432677849199843	Cosy Room in center of Berlin	Moabit West	85	3	255
1282280560306390644	Berlin City 105	Moabit West	85	3	255
1376348748790549852	Apartment Nolle 2	Tiergarten Süd	84	3	252
1376356410353693375	Apartment Nolle 3	Tiergarten Süd	84	3	252
54351855	Twin Room with shared bathroom	Brunnenstr. Süd	83	3	249
589827311095896853	Berlin Center - Room in shared flat	Brunnenstr. Süd	83	3	249
3717751	Unique Gardenroom | Berlin Mitte | with garden	Brunnenstr. Süd	81	3	243
1447700264305408621	primeflats - Apartment Genter 1 Berlin-Wedding	Parkviertel	81	3	243
1362195062794223095	Zentral, design 3 Zimmer in Parknähe Tiergarten	Moabit Ost	80	3	240
2201228	Cosy Flat around Rosenthaler Platz	Alexanderplatz	79	3	237
1565047	King-Size Capsule shared with additional capsules	Alexanderplatz	76	3	228
2328948	APARTMENT - Berlin City Studio	Moabit Ost	72	3	216
1139770837673152303	1 room in 3-room shared apartment	Parkviertel	72	3	216
6550264	Cozy & authentic: private room near Alexanderplatz	Alexanderplatz	69	3	207
1344851062340666390	Room close to KitKat Club mit Blick auf TV Tower	Alexanderplatz	68	3	204
1126877399823168031	Spacious Room in near Mitte	Moabit West	68	3	204
1080550983419728052	Berlin City 101	Moabit West	67	3	201
1176178226335596939	Berlin City 103	Moabit West	67	3	201
1203970282600359877	Berlin City 102	Moabit West	67	3	201
43719623	Mari	Alexanderplatz	65	3	195
51462475	Stylish, calm room in Central Berlin	Wedding Zentrum	64	3	192
1384845332221448997	WG Zimmer 28qm im Wedding	Brunnenstr. Nord	63	3	189
1512500420521375948	Bright & Cozy 45 sqm Studio near Bellevue	Moabit Ost	63	3	189
893360851624346547	U-Bahn vor der Tür | 12 Min Hauptbahnhof	Moabit West	63	3	189
50825618	Großes Zimmer zu vermieten	Parkviertel	59	3	177
807131975159748467	Zimmer in Berlin– gute Anbindung & ruhige Umgebung	Parkviertel	59	3	177
944834674862719502	Gemütliches Zimmer mit aufklabaren Bett	Moabit West	57	3	171
1440504645720154477	Genrator Mitte - Pod	Alexanderplatz	56	3	168
53567975	Gemütliches Dachgeschoss-Zimmer mit Bad und Flur	Parkviertel	55	3	165
830575419710014519	Quite room to sleep in busy city	Wedding Zentrum	54	3	162
1453608835059077187	Cosy Room @ Alexanderplatz	Alexanderplatz	53	3	159
1130292978164168626	Berlin Mitte	Parkviertel	53	3	159
1478850678768798610	Gemütliches Mini-Mädchen-Zimmer	Moabit Ost	52	3	156
938695561371451782	Großes 20m² Zimmer zur Miete	Moabit West	52	3	156
1109989808625411298	Großes Zimmer mit Arbeitsplatz in Berlin-Mitte	Moabit West	52	3	156
1441290412653108181	Generator Mitte - Pod	Alexanderplatz	51	3	153
1226543545358921927	Herzlich Willkommen	Parkviertel	51	3	153
9536240	bed in a 6-Bed mixed dorm ,Shared Bathroom 5	Alexanderplatz	48	3	144
846755641670590656	22 qm Zimmer in Altbauwohnung	Osloer Straße	46	3	138
1441204402972029747	Generator Mitte Bed in 4 Bed Dorm Ensuite	Alexanderplatz	44	3	132
6098609	bed in a 4-Bedroom mixed, Ensuite  No. 2	Alexanderplatz	43	3	129
849732709353643211	buena comunicación con el centro	Osloer Straße	43	3	129
1320131827647030801	1room flat shared with Host in central Berlin	Moabit West	41	3	123
1096289801290008731	Top Location <-> Furnished Room in Heart of Berlin	Parkviertel	41	3	123
35816059	Bed in 6 Bed Dorm Ensuite	Alexanderplatz	40	3	120
1128110158947854731	Bed in 6 Bed Female Dorm	Alexanderplatz	40	3	120
1415025972886322074	Bett im 4er mit DU/ WC 3	Alexanderplatz	40	3	120
1441261673248458773	Generator Mitte Bed in 4 Bed Dorm Ensuite	Alexanderplatz	39	3	117
11286561	bed in a 6-Bedroom mixed, Ensuite  No. 4	Alexanderplatz	38	3	114
1426609329108129539	Bett im 6er , Gemeinschaftsbad 6	Alexanderplatz	38	3	114
1440487175664659781	Generator Mitte Bed in 6 Bed Room - Ensuite	Alexanderplatz	38	3	114
1565012	bed in a 6-Bedroom mixed, Ensuite No. 1	Alexanderplatz	37	3	111
36340336	Generator Mitte - Bed in 8 Bed Dorm Ensuite	Alexanderplatz	36	3	108
1127946208576008671	Bed in 8-Bed Dorm	Alexanderplatz	36	3	108
25438611	bed in a 6-Bedroom mixed, Ensuite   No. 5	Alexanderplatz	34	3	102
1441241219413660444	Generator Mitte Bed in 6 Bed Room - Ensuite	Alexanderplatz	34	3	102
1441227611761269880	Generator Mitte - Bed in 8 Bed Dorm Ensuite	Alexanderplatz	32	3	96
1447631692937562533	Bett im 6er, Gemeinschaftsbad 7	Alexanderplatz	32	3	96
6110762	bed in a 6-Bed mixed dorm ,Shared Bathroom 4	Alexanderplatz	31	3	93
6111076	bed in a 6-Bed mixed dorm ,Shared Bathroom 1	Alexanderplatz	31	3	93
